run,m,n,nT,c,a,b1,bn,σt,g0,g1,g1_std,τpot,tau3,stdp_type,connectivity_algorithm,αrecip,αconv,αdiv,αchain,timestep,pattern,act_corrs,temp_corrs,hit_rates,false_alarm_rates,d_primes
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,1,1,0.8953696000606304,0.30124974250475134,0.782608695652174,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,2,2,0.8373473796893091,-0.14720700727236719,0.6956521739130435,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,3,3,0.8399807552883561,-0.34684351912382433,0.6956521739130435,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,4,4,0.8849397338794441,-0.017562465007782597,0.782608695652174,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,5,5,0.911358446416378,0.08819405332219281,0.8260869565217391,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,6,1,0.9194142151546818,-0.36178123167616777,0.8260869565217391,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,7,2,0.9119273377201412,-0.16164231187586353,0.8260869565217391,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,8,3,0.911358446416378,-4.217395045901061e-17,0.8260869565217391,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,9,4,0.9376080876112319,0.0,0.8695652173913043,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,10,5,0.9594052517364144,-1.1146913750119085e-17,0.9130434782608695,0.0,Inf
2,5,3000,10,0.25,0.05,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,0,1,0.7553229702836888,0.9886363636363636,0.5866666666666667,0.0,Inf
2,5,3000,10,0.25,0.05,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,1,2,0.9858746496649904,0.41660611369786615,0.9733333333333334,0.0,Inf
2,5,3000,10,0.25,0.05,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,2,3,0.9954994684257843,0.1794357890655306,0.9933333333333333,0.0,Inf
2,5,3000,10,0.25,0.05,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,3,4,0.9983485508028423,0.23779122551448947,1.0,0.0,Inf
2,5,3000,10,0.25,0.05,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,4,5,0.9983485508028423,0.1589772635247591,1.0,0.0,Inf
2,5,3000,10,0.25,0.05,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,5,1,0.9983485508028423,-1.7740200249952252e-17,1.0,0.0,Inf
2,5,3000,10,0.25,0.05,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,6,2,0.9983485508028423,-1.7740200249952252e-17,1.0,0.0,Inf
2,5,3000,10,0.25,0.05,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,7,3,0.9983485508028423,-1.7740200249952252e-17,1.0,0.0,Inf
2,5,3000,10,0.25,0.05,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,8,4,0.9983485508028423,-1.7740200249952252e-17,1.0,0.0,Inf
2,5,3000,10,0.25,0.05,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,9,5,0.9983485508028423,-1.7740200249952252e-17,1.0,0.0,Inf
2,5,3000,10,0.25,0.05,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,10,1,0.9983485508028423,-1.7740200249952252e-17,1.0,0.0,Inf
2,5,3000,10,0.25,0.05,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,0,2,0.6712897331134612,0.9838709677419354,0.45588235294117646,0.0,Inf
